InChI_Key_Planar	TAGS	NCBITaxonomy	UBERONBodyPartName	Lifestyle_Tag
NGUGHCRMWIKICS	naturalproduct			
NGUSMSQYMDPBGF	plant|naturalproduct_plant			
NGVDGCNFYWLIFO	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NGWLEVXPPLCHNC	bacterial|bacterial_produced			
NGWSFRIPKNWYAO	drug|naturalproduct|bacterial|bacterial_produced			drug or medication use
NGZXDRGWBULKFA	naturalproduct			
NHAQNKDEUQPSIX	naturalproduct|fungal|fungal_produced			
NHBSPDCGDJCFKE	naturalproduct|bacterial|bacterial_produced			
NHDHVHZZCFYRSB	biocide_insecticide|environmental			
NHFGEHLUROYMEB	naturalproduct			
NHIJCTHPXLPORC	naturalproduct			
NHKCCADZVLTPPO	bacterial|bacterial_produced|naturalproduct			
NHLBOKNHQIEJIH	algal|marine_cyanobacteria_insitu|naturalproduct_bacterial			
NHMMAMIRMITGRD	naturalproduct			
NHNBFGGVMKEFGY	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
NHNODHRSCRALBF	|food|human	9606|Homo sapiens		food consumption
NHOIBRJOQAYBJT	naturalproduct			
NHOWDZOIZKMVAI	|food|human	9606|Homo sapiens		food consumption
NHPBYMFQSUHYPK	algal|marine_cyanobacteria_insitu|naturalproduct_bacterial|bacterial|bacterial_produced			
NHUHCSRWZMLRLA	drug|human	9606|Homo sapiens		drug or medication use
NHVNXKFIZYSCEB	drug|food|human	9606|Homo sapiens		food consumption|drug or medication use
NHYWHOQGRJLYBG	naturalproduct			
NHZLNPMOSADWGC	biocide_antimicrobial|drug		urine	
NHZMQXZHNVQTQA	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NIDRYBLTWYFCFV	naturalproduct			
NIFSOTSGUFBSPF	bacterial|bacterial_produced|naturalproduct			
NIJJYAXOARWZEE	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NIKHGUQULKYIGE	naturalproduct			
NILQLFBWTXNUOE	drug|human	9606|Homo sapiens		drug or medication use
NIQCNGHVCWTJSM	|environmental|personalcareproduct|drug|naturalproduct			|products containing plasticizers|drug or medication use
NIQIMYXBAQAIAT	naturalproduct			
NIQUZFQMNMNAMD	drug|naturalproduct|bacterial|bacterial_produced			
NISPVUDLMHQFRQ	naturalproduct			
NIXOWILDQLNWCW	drug|food|human|naturalproduct	9606|Homo sapiens		food consumption|drug or medication use
NIYXMGSLECQTQT	plant|naturalproduct_plant|naturalproduct			
NJCJBUHJQLFDSW	drug|human	9606|Homo sapiens		drug or medication use
NJCVPQRHRKYSAZ	|human|naturalproduct	9606|Homo sapiens		
NJEWNTGSXKRWKA	naturalproduct			
NJGWOFRZMQRKHT	naturalproduct|bacterial|bacterial_produced			
NJIOFEXYZOVVKA	bacterial|bacterial_produced			
NJIUWSABAIXPGI	food|vitamin		blood	
NJKDOADNQSYQEV	drug			drug or medication use
NJMFZDTYMRZXER	naturalproduct			
NJMQSVWMCODQIP	|food|plant|naturalproduct_plant|naturalproduct			food consumption
NJRLDXGREKHXGV	naturalproduct			
NJUWLUPGDQOJCR	naturalproduct			
NJVADEFPOCMONF	naturalproduct			
NKANXQFJJICGDU	drug|human|naturalproduct	9606|Homo sapiens		drug or medication use
NKBHDXJJPQYANN	naturalproduct			
NKCISAZZXKYCSK	naturalproduct			
NKDFYOWSKOHCCO	food|plant_angiospermae|naturalproduct_plant|plant|human|naturalproduct	:1816324|Niedenzuella multiglandulosa:9606|Homo sapiens	feces	
NKLWCOIOKXMOKC	naturalproduct			
NKTORRNHKYVXSU	naturalproduct			
NKURNVCWJJFIBK	naturalproduct			
NLAWPKPYBMEWIR	|food|human|naturalproduct	9606|Homo sapiens		food consumption
NLBYRERHXBTBBR	food|human|naturalproduct	:9606|Homo sapiens	blood	|food consumption
NLDDIKRKFXEWBK	food|human|plant|naturalproduct_plant|naturalproduct	:9606|Homo sapiens	blood|feces|urine	food consumption_ginger|food consumption
NLFUQHCGODFTIB	naturalproduct			
NLGUKXQDDTZCDG	food|human|naturalproduct	:9606|Homo sapiens	blood|urine	|food consumption
NLJNYZLJCNVCNR	naturalproduct			
NLOAQXKIIGTTRE	food|plant|naturalproduct_plant			
NLRXQZJJCPRATR	naturalproduct			
NLTOTZSPOYWSSP	naturalproduct			
NLVFBUXFDBBNBW	drug|human|naturalproduct|bacterial|bacterial_produced	9606|Homo sapiens		drug or medication use
NLXBYYROKNGJOC	naturalproduct|fungal|fungal_produced			
NLZUEZXRPGMBCV	|food|human|naturalproduct	9606|Homo sapiens		food consumption
